num,symbol,number,row,group,atomic_mass,molar_volume,atomic_radius,ionic_radius,covalent_radius,van_der_waals_radius,electron_negativity,electron_affinity,electrical_resistivity,thermal_cond,boiling_point,melting_point,Tc,enthalpy_of_fusion,first_ionization_energy,second_ionization_energy,s,p,d,f,Omax,Omin,valance,block,electron_shell,metal,noble_gas,alkali_metal,rare_earth_metal,Over_metal,Lanthanide_metals,actinoid,Halogen,alkaline,poissons_ratio,bulk_modulus,youngs_modul,rigidity_modul,thermal_expansion
10,Na,11,3,1,22.98976928,23.78,2.27,1.16,1.6,250,0.93,52.867,4.90E-08,140,1156,370.87,2573,2.6,495.8,4562,1,0,0,0,1,-1,1,s,2.8.1,1,0,1,0,0,0,0,0,0,,6.3,10,3.3,7.10E-05
11,Mg,12,3,2,24.305,14,1.73,0.86,1.4,251,1.31,0,4.40E-08,160,1363,923,0,8.7,737.7,1450.7,2,0,0,0,2,1,2,s,2.8.2,1,0,0,0,0,0,0,0,1,0.29,45,45,17,8.20E-06
12,Al,13,3,13,26.9815386,10,1.84,0.675,1.24,225,1.61,41.762,2.70E-08,235,2792,933.47,0,10.7,577.5,1816.7,2,1,0,0,3,1,3,p,2.8.3,1,0,0,0,0,0,0,0,0,0.35,76,70,26,2.31E-05
13,Si,14,3,14,28.0855,12.06,2.1,0.54,1.14,219,1.98,133.068,0.001,150,3173,1687,0,50.2,786.5,1577.1,2,2,0,0,4,-4,4,p,2.8.4,0,0,0,0,0,0,0,0,0,,100,47,,2.60E-06
14,P,15,3,15,30.973762,17.02,1.8,0.55,1.09,190,2.19,72.037,1.00E-07,0.236,550,317,994,0.64,1011,1907,2,3,0,0,5,-3,5,p,2.8.5,0,0,0,0,0,0,0,0,0,,11,,,
15,S,16,3,16,32.065,15.53,1.8,0.88,1.04,189,2.58,200.41,1.00E+23,0.205,717.87,388.36,1314,1.73,999.6,2252,2,4,0,0,6,-2,6,p,2.8.6,0,0,0,0,0,0,0,0,0,,7.7,,,
16,Cl,17,3,17,35.453,17.39,1.75,0.78,1,182,3.16,348.575,10000000000,0.0089,239.11,171.6,417,3.2,1251.2,2298,2,5,0,0,7,-1,5,p,2.8.7,0,0,0,0,0,0,0,1,0,,1.1,,,
17,Ar,18,3,18,39.948,22.56,1.88,0,1.01,183,3.24,0,0,0.01772,87.3,83.8,150.8,1.18,1520,2665.8,2,6,0,0,0,0,0,p,2.8.8,0,1,0,0,0,0,0,0,0,,,,,
18,K,19,4,1,39.0983,45.94,2.75,1.52,2,273,0.82,48.385,7.50E-08,100,1032,336.53,2223,2.33,418.8,3052,1,0,0,0,1,-1,1,s,2.8.8.1,1,0,1,0,0,0,0,0,0,,3.1,,1.3,
19,Ca,20,4,2,40.078,26.2,2.31,1.14,1.74,262,1.01,2.37,3.40E-08,200,1757,1115,0,8.54,589.8,1145.4,2,0,0,0,2,2,2,s,2.8.8.2,1,0,0,0,0,0,0,0,1,0.31,17,20,7.4,2.23E-05
